name	type	label	passes	num_identical	note	strain_name	label_w_strain_name
645322113	ncbi	Streptococcus_downei			NR_118934.1	MFe28 16S ribosomal RNA, partial sequence	gi_645322114_Streptococcus_sobrinus
645322111	ncbi	Streptococcus_mutans			NR_118933.1	strain NCTC 10449 16S ribosomal RNA, partial sequence	gi_645322113_Streptococcus_downei
645322110	ncbi	Streptococcus_macacae			NR_118932.1	strain NCTC 11558 16S ribosomal RNA, partial sequence	gi_645322111_Streptococcus_mutans
645321328	ncbi	Streptococcus_anginosus			NR_118320.1	subsp. whileyi strain CCUG 39159 16S ribosomal RNA, partial sequence	gi_645322110_Streptococcus_macacae
645321306	ncbi	Streptococcus_dysgalactiae			NR_118304.1	subsp. equisimilis strain CCUG 36637 16S ribosomal RNA, partial sequence	gi_645321328_Streptococcus_anginosus
645321304	ncbi	Streptococcus_dysgalactiae			NR_118303.1	strain CCUG 27301 16S ribosomal RNA, partial sequence	gi_645321306_Streptococcus_dysgalactiae
645321213	ncbi	Streptococcus_oralis			NR_118234.1	subsp. tigurinus AZ_3a 16S ribosomal RNA, partial sequence	gi_645321304_Streptococcus_dysgalactiae
645320536	ncbi	Streptococcus_oralis			NR_117719.1	subsp. dentisani strain 7747 16S ribosomal RNA, partial sequence	gi_645321213_Streptococcus_oralis
645320255	ncbi	Streptococcus_suis			NR_117504.1	strain ATCC 43765 16S ribosomal RNA, partial sequence	gi_645320536_Streptococcus_oralis
645320253	ncbi	Streptococcus_agalactiae			NR_117503.1	ATCC 13813 16S ribosomal RNA, partial sequence	gi_645320255_Streptococcus_suis
645320244	ncbi	Streptococcus_pneumoniae			NR_117496.1	strain ATCC 33400 16S ribosomal RNA, partial sequence	gi_645320253_Streptococcus_agalactiae
645320152	ncbi	Streptococcus_anginosus			NR_117426.1	SK52 = DSM 20563 16S ribosomal RNA, partial sequence	gi_645320244_Streptococcus_pneumoniae
636560153	ncbi	Streptococcus_pseudopneumoniae			NR_116213.1	ATCC BAA-960 = CCUG 49455 16S ribosomal RNA, partial sequence	gi_645320152_Streptococcus_anginosus
636560152	ncbi	Streptococcus_peroris			NR_116212.1	ATCC 700780 strain CCUG 39814 16S ribosomal RNA, partial sequence	gi_636560153_Streptococcus_pseudopneumoniae
636560151	ncbi	Streptococcus_parasanguinis			NR_116211.1	ATCC 15912 16S ribosomal RNA, partial sequence	gi_636560152_Streptococcus_peroris
636560150	ncbi	Streptococcus_oralis			NR_116210.1	ATCC 35037 16S ribosomal RNA, partial sequence	gi_636560151_Streptococcus_parasanguinis
636560149	ncbi	Streptococcus_cristatus			NR_116209.1	AS 1.3089 16S ribosomal RNA, partial sequence	gi_636560150_Streptococcus_oralis
636560148	ncbi	Streptococcus_mutans			NR_116208.1	strain ATCC 25175 16S ribosomal RNA, partial sequence	gi_636560149_Streptococcus_cristatus
636560147	ncbi	Streptococcus_mitis			NR_116207.1	strain ATCC 49456 16S ribosomal RNA, partial sequence	gi_636560148_Streptococcus_mutans
636560146	ncbi	Streptococcus_infantis			NR_116206.1	ATCC 700779 strain CCUG 39817 16S ribosomal RNA, partial sequence	gi_636560147_Streptococcus_mitis
636560145	ncbi	Streptococcus_gordonii			NR_116205.1	strain ATCC 10558 16S ribosomal RNA, partial sequence	gi_636560146_Streptococcus_infantis
636560144	ncbi	Streptococcus_cristatus			NR_116204.1	ATCC 51100 16S ribosomal RNA, partial sequence	gi_636560145_Streptococcus_gordonii
636559952	ncbi	Streptococcus_equi			NR_116012.1	subsp. ruminatorum CECT 5772 strain CCUG 47520 16S ribosomal RNA, partial sequence	gi_636560144_Streptococcus_cristatus
636559951	ncbi	Streptococcus_equi			NR_116011.1	subsp. zooepidemicus strain ATCC 43079 16S ribosomal RNA, partial sequence	gi_636559952_Streptococcus_equi
636559950	ncbi	Streptococcus_equi			NR_116010.1	strain ATCC 33398 16S ribosomal RNA, partial sequence	gi_636559951_Streptococcus_equi
636559742	ncbi	Streptococcus_ictaluri			NR_115802.1	707-05 16S ribosomal RNA, partial sequence	gi_636559950_Streptococcus_equi
636559678	ncbi	Streptococcus_urinalis			NR_115738.1	strain 2285-97 16S ribosomal RNA, partial sequence	gi_636559742_Streptococcus_ictaluri
636559677	ncbi	Streptococcus_suis			NR_115737.1	strain ATCC 43765 16S ribosomal RNA, partial sequence	gi_636559678_Streptococcus_urinalis
636559676	ncbi	Streptococcus_sanguinis			NR_115736.1	SK1 = NCTC 7863 16S ribosomal RNA, partial sequence	gi_636559677_Streptococcus_suis
636559675	ncbi	Streptococcus_parasanguinis			NR_115735.1	ATCC 15912 16S ribosomal RNA, partial sequence	gi_636559676_Streptococcus_sanguinis
636559674	ncbi	Streptococcus_oralis			NR_115734.1	strain CCUG 24891 16S ribosomal RNA, partial sequence	gi_636559675_Streptococcus_parasanguinis
636559673	ncbi	Streptococcus_mutans			NR_115733.1	strain ATCC 25175 16S ribosomal RNA, partial sequence	gi_636559674_Streptococcus_oralis
